Gene stable ID	Protein stable ID version
ENSG00000210049	
ENSG00000211459	
ENSG00000210077	
ENSG00000210082	
ENSG00000209082	
ENSG00000198888	ENSP00000354687.2
ENSG00000210100	
ENSG00000210107	
ENSG00000210112	
ENSG00000198763	ENSP00000355046.4
ENSG00000210117	
ENSG00000210127	
ENSG00000210135	
ENSG00000210140	
ENSG00000210144	
ENSG00000198804	ENSP00000354499.2
ENSG00000210151	
ENSG00000210154	
ENSG00000198712	ENSP00000354876.1
ENSG00000210156	
ENSG00000228253	ENSP00000355265.1
ENSG00000198899	ENSP00000354632.2
ENSG00000198938	ENSP00000354982.2
ENSG00000210164	
ENSG00000198840	ENSP00000355206.2
ENSG00000210174	
ENSG00000212907	ENSP00000354728.1
ENSG00000198886	ENSP00000354961.2
ENSG00000210176	
ENSG00000210184	
ENSG00000210191	
ENSG00000198786	ENSP00000354813.2
ENSG00000198695	ENSP00000354665.2
ENSG00000210194	
ENSG00000198727	ENSP00000354554.2
ENSG00000210195	
ENSG00000210196	
ENSG00000299200	
ENSG00000308964	
ENSG00000303867	
ENSG00000271254	ENSP00000484923.1
ENSG00000271254	ENSP00000478665.1
ENSG00000278625	
ENSG00000278704	ENSP00000484918.1
ENSG00000297432	
ENSG00000297449	
ENSG00000299314	
ENSG00000303902	
ENSG00000277630	ENSP00000479139.1
ENSG00000277630	ENSP00000477677.1
ENSG00000278457	
ENSG00000278573	
ENSG00000298469	
ENSG00000306528	
ENSG00000295160	
ENSG00000296348	
ENSG00000277400	ENSP00000483280.1
ENSG00000307824	
ENSG00000306901	
ENSG00000278633	ENSP00000484693.1
ENSG00000304745	
ENSG00000276197	
ENSG00000297972	
ENSG00000300519	
ENSG00000304422	
ENSG00000278294	
ENSG00000274917	
ENSG00000294644	
ENSG00000278066	
ENSG00000307034	
ENSG00000296902	
ENSG00000273730	
ENSG00000274847	ENSP00000478910.1
ENSG00000277196	ENSP00000481127.1
ENSG00000277196	ENSP00000482462.1
ENSG00000273937	
ENSG00000308580	
ENSG00000295378	
ENSG00000296546	
ENSG00000297619	
ENSG00000298772	
ENSG00000300051	
ENSG00000296713	
ENSG00000305511	
ENSG00000306721	
ENSG00000277428	
ENSG00000276256	ENSP00000484596.1
ENSG00000278793	
ENSG00000305525	
ENSG00000298861	
ENSG00000295668	
